Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,NtQueryFullAttributesFile
0,0,0.0,371,5.0,27.0,0.0,26,649.0,7,0.0,48.0,0.0,14.0,3,19,0.0,0,6.0,20.0,0,0.0,1,0,0.0,0,5.0,418.0,24.0,1,0.0,15.0,96.0,72.0,0.0,621.0,1794.0,0,0,3.0,39.0,0.0,0,273.0,0.0,0.0,0.0,0.0,0.0,76.0,26.0,0.0,0.0,132.0,60.0,0,14.0,0,0
0,0,0.0,24,5.0,0.0,0.0,0,192.0,0,0.0,0.0,9.0,299.0,16,2,1.0,0,7.0,667.0,7,0.0,3,2,14.0,0,0.0,0.0,1.0,2,369.0,80.0,267.0,0.0,88.0,73.0,551.0,0,0,0.0,0.0,23.0,0,853.0,0.0,99.0,47.0,4.0,0.0,130.0,18.0,84.0,0.0,147.0,46.0,1,95.0,0,0
0,0,0.0,30,1.0,5.0,4.0,52,315.0,7,3.0,95.0,12.0,91.0,0,1,0.0,0,0.0,461.0,0,0.0,0,6,1.0,0,0.0,131.0,0.0,7,491.0,48.0,236.0,0.0,0.0,0.0,490.0,0,3,22.0,475.0,13.0,0,7580.0,55.0,88.0,3.0,3.0,0.0,0.0,4.0,24.0,0.0,70.0,22.0,0,84.0,0,0
0,0,0.0,413,15.0,2.0,13.0,44,180.0,7,111.0,86.0,62.0,0.0,18,0,0.0,0,6.0,1272.0,0,1.0,4,7,0.0,0,0.0,515.0,21.0,1,206.0,65.0,160.0,0.0,0.0,65.0,217.0,0,0,0.0,78.0,11.0,0,1325.0,92.0,109.0,39.0,0.0,0.0,95.0,5.0,0.0,0.0,226.0,44.0,0,44.0,0,0
0,0,0.0,18,13.0,0.0,0.0,9,497.0,5,0.0,69.0,22.0,13.0,0,4,0.0,0,3.0,0.0,0,0.0,4,7,0.0,0,0.0,647.0,9.0,1,344.0,62.0,288.0,0.0,984.0,0.0,437.0,0,0,0.0,0.0,0.0,0,0.0,0.0,70.0,24.0,0.0,0.0,61.0,6.0,5.0,0.0,57.0,0.0,0,0.0,0,0
0,0,0.0,28,4.0,48.0,0.0,59,490.0,10,4.0,99.0,46.0,10.0,0,1,0.0,0,390.0,0.0,7,29.0,5,8,0.0,0,0.0,664.0,17.0,1,420.0,32.0,207.0,323.0,0.0,0.0,157.0,0,0,8.0,37.0,0.0,0,3170.0,0.0,16.0,28.0,0.0,0.0,0.0,4.0,276.0,17.0,296.0,33.0,0,53.0,0,0
0,0,0.0,15,1.0,45.0,0.0,17,208.0,0,51.0,19.0,1.0,131.0,1,1,0.0,0,45.0,197.0,0,0.0,8,0,0.0,0,64.0,264.0,20.0,1,0.0,60.0,40.0,504.0,0.0,0.0,1685.0,0,0,0.0,49.0,26.0,0,691.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,246.0,69.0,1,116.0,0,0
0,0,0.0,26,3.0,14.0,0.0,22,0.0,1,13.0,72.0,26.0,0.0,2,0,0.0,9,104.0,838.0,271,5.0,1,9,0.0,0,0.0,0.0,35.0,0,0.0,48.0,8.0,0.0,0.0,0.0,294.0,0,0,0.0,72.0,27.0,0,783.0,0.0,47.0,17.0,0.0,0.0,620.0,25.0,84.0,0.0,142.0,108.0,0,110.0,0,0
0,0,0.0,24,0.0,47.0,95.0,41,292.0,9,17.0,0.0,0.0,0.0,1,0,0.0,0,7.0,0.0,195,0.0,5,7,6.0,0,0.0,497.0,17.0,0,125.0,65.0,54.0,30.0,420.0,0.0,457.0,0,0,34.0,99.0,5.0,0,290.0,0.0,0.0,17.0,2.0,0.0,63.0,5.0,274.0,0.0,0.0,38.0,0,0.0,0,0
0,0,0.0,19,2.0,10.0,0.0,56,494.0,1,0.0,72.0,35.0,4.0,0,0,0.0,66,50.0,690.0,0,0.0,5,0,0.0,0,0.0,494.0,12.0,1,143.0,49.0,198.0,74.0,0.0,0.0,0.0,3,0,0.0,1285.0,23.0,0,0.0,0.0,1254.0,0.0,0.0,0.0,0.0,68.0,171.0,1.0,44.0,56.0,0,42.0,0,0
